record_id,age_max,age_min,category,created,created_by,gender,last_modified_by,last_modified_time,overview,recommendation_text,therapautics_matrix,therapautics_matrix_2,therapautics_matrix_3,therapeutic,therapeutic_dose_max,therapeutic_dose_min,therapeutic_dose_rollup,therapeutic_frequency_days,therapeutic_operator,therapeutic_timing,therapeutic_type,therapeutic_unit,therapeutic_unit_symbol
recaR9XfOmO1yrFTD,150,21,Bisphosphonate,2025-09-27T16:11:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:45:32.000Z,Bone health optimization,"Take 35-70mg of Alendronate on empty stomach weekly for bone health optimization and fracture prevention
",recKgi8mkh6IJqt2k,,,Alendronate,70,35,35-70 mg,7,<>,Empty stomach,MED,recBxCQOAdMmOV1Hi,mg
recWKHZTWd7kfYvI0,150,21,Bisphosphonate,2025-09-27T16:11:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:45:39.000Z,Bone health optimization,"Take 35mg of Risedronate on empty stomach weekly for bone density maintenance and skeletal health
",recrfSRfN2RnpyWYZ,,,Risedronate,35,35,35-35 mg,7,<>,Empty stomach,MED,recBxCQOAdMmOV1Hi,mg
recvYjcSzwtp7b5tP,150,21,RANKL Inhibitor,2025-09-27T16:20:23.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:45:42.000Z,Bone health optimization,"Take 60mg of Denosumab at any time every 6 months for bone health optimization and osteoporosis prevention
",recAMl4mYkyezyuwU,,,Denosumab,,60,60 mg,180,=,Any,MED,recBxCQOAdMmOV1Hi,mg
reccbQiIRg22mVzUX,150,21,SERM,2025-09-27T16:11:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:45:48.000Z,Bone and cardiovascular protection,"Take 60mg of Raloxifene at any time daily for bone health, cardiovascular protection, and selective estrogen benefits
",recZzvhZCbV6nurbL,,,Raloxifene,,60,60 mg,1,=,Any,MED,recBxCQOAdMmOV1Hi,mg
recmmB8PUU0XVZOGt,150,21,PTH Analog,2025-09-27T16:11:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:45:53.000Z,Bone anabolic therapy,"Take 20mcg of Teriparatide at any time daily for bone anabolic therapy and skeletal health optimization
",recrhVged8JpbAjv7,,,Teriparatide,,20,20 µg,1,=,Any,MED,rec0bCCIGsoIoxokH,µg
recA7SZUl7MArzgeP,150,21,PTH Analog,2025-09-27T16:11:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:45:58.000Z,Bone anabolic therapy,"Take 80mcg of Abaloparatide at any time daily for bone building and osteoporosis treatment
",reclQ38iUHyKWb3Mo,,,Abaloparatide,,80,80 µg,1,=,Any,MED,rec0bCCIGsoIoxokH,µg
recsZOHIo05iu6Two,150,21,Thyroid Hormone,2025-09-27T16:20:30.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:46:01.000Z,Thyroid optimization,"Take 50-200mcg of Levothyroxine on empty stomach daily for thyroid optimization and metabolic health
",recBNLz4hMaayJzT2,,,Levothyroxine,200,50,50-200 µg,1,<>,Empty stomach,MED,rec0bCCIGsoIoxokH,µg
recVtLiSbvFQwptqT,150,21,Hormone Replacement,2025-09-27T16:11:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T18:39:22.000Z,Androgen optimization for longevity,"Take 100-200mg of Testosterone at any time weekly for hormonal optimization, muscle preservation, and vitality enhancement
",recBwRAydUZYxlW4q,,,Testosterone Therapy,200,100,100-200 mg,7,<>,Any,MED,recBxCQOAdMmOV1Hi,mg
recDl9UZpfuYhQoPG,150,21,Hormone Replacement,2025-09-27T16:11:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T18:39:24.000Z,Estrogen optimization for longevity,"Take 0.5-1mg of Estrogen at any time daily for hormonal balance, bone health, and cardiovascular protection
",rec1yXTGzs2BU436z,,,Estrogen Therapy,1,0.5,0.5-1 mg,1,<>,Any,MED,recBxCQOAdMmOV1Hi,mg
recVnIYID93w1t90O,150,21,Hormone Replacement,2025-09-27T16:11:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T18:39:26.000Z,Progesterone optimization,"Take 100-400mg of Progesterone before bed daily for hormonal optimization and sleep quality
",recoZJGFMJnCcqUtc,,,Progesterone Therapy,400,100,100-400 mg,1,<>,Before bed,MED,recBxCQOAdMmOV1Hi,mg
recZtIzsH80Uu8QtC,150,21,Hormone Supplement,2025-09-27T16:20:39.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:46:16.000Z,Adrenal hormone optimization,"Take 25-50mg of DHEA in the morning daily for adrenal hormone optimization and anti-aging benefits
",recxILdEqrKG4yrMI,,,DHEA,50,25,25-50 mg,1,<>,Morning,MED,recBxCQOAdMmOV1Hi,mg
recttMnjnurajM337,150,21,Beta Blocker,2025-09-27T16:11:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:46:23.000Z,Cardiovascular protection,"Take 25-100mg of Atenolol at any time daily for cardiovascular protection and blood pressure control
",rec9StOkrLneMg8rg,,,Atenolol,100,25,25-100 mg,1,<>,Any,MED,recBxCQOAdMmOV1Hi,mg
recY8ry5Tec9GvyRe,150,21,Beta Blocker,2025-09-27T16:11:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:46:26.000Z,Cardiovascular protection,"Take 6.25-25mg of Carvedilol with meals daily for comprehensive cardiovascular protection and antioxidant benefits
",rec99ECyaGY8DPSp4,,,Carvedilol,25,6.25,6.25-25 mg,1,<>,With meals,MED,recBxCQOAdMmOV1Hi,mg
recDZAkZqy1LAw9tN,150,21,Beta Blocker,2025-09-27T16:11:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:46:30.000Z,Cardiovascular protection,"Take 40-160mg of Propranolol at any time daily for cardiovascular health and stress response modulation
",recD43W0QrI9D0zCB,,,Propranolol,160,40,40-160 mg,1,<>,Any,MED,recBxCQOAdMmOV1Hi,mg
recWaAvIhhlMX5glQ,150,21,SSRI,2025-09-27T16:11:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:47:15.000Z,Mental health optimization,"Take 25-100mg of Sertraline in the morning daily for mental health optimization and stress resilience
",rec9lWRCb0IXPjkQj,,,Sertraline,100,25,25-100 mg,1,<>,Morning,MED,recBxCQOAdMmOV1Hi,mg
rec3vSTKQhjBHx0jt,150,21,SSRI,2025-09-27T16:11:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:47:19.000Z,Mental health optimization,"Take 10-20mg of Escitalopram in the morning daily for mood optimization and cognitive health
",recNJyhIxhMGbjCbs,,,Escitalopram,20,10,10-20 mg,1,<>,Morning,MED,recBxCQOAdMmOV1Hi,mg
recSSdr6v2tFWK418,150,21,SSRI,2025-09-27T16:11:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:47:22.000Z,Mental health optimization,"Take 20-40mg of Fluoxetine in the morning daily for mental health support and emotional well-being
",recnzLYs0sS50O0V5,,,Fluoxetine,40,20,20-40 mg,1,<>,Morning,MED,recBxCQOAdMmOV1Hi,mg
recFUPRSWwXiqwjbp,150,21,SNRI,2025-09-27T16:11:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:47:26.000Z,Mental health optimization,"Take 30-60mg of Duloxetine in the morning daily for mood optimization and pain management
",recaJAywothgXPA2O,,,Duloxetine,60,30,30-60 mg,1,<>,Morning,MED,recBxCQOAdMmOV1Hi,mg
recUgx4cMDyr38rpY,150,21,SNRI,2025-09-27T16:11:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:47:29.000Z,Mental health optimization,"Take 75-225mg of Venlafaxine in the morning daily for comprehensive mood support and stress management
",recZlbcMLESqexmD9,,,Venlafaxine,225,75,75-225 mg,1,<>,Morning,MED,recBxCQOAdMmOV1Hi,mg
recMgTkJf2Sf594PG,150,21,NDRI,2025-09-27T16:11:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:47:32.000Z,Mental health and metabolic optimization,"Take 150-300mg of Bupropion in the morning daily for mood enhancement, metabolic benefits, and cognitive support
",reckxcBd1K5mPjQc5,,,Bupropion,300,150,150-300 mg,1,<>,Morning,MED,recBxCQOAdMmOV1Hi,mg
recNq1oakb6SH8DIP,150,21,Atypical Antidepressant,2025-09-27T16:11:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:47:39.000Z,Mental health optimization,"Take 15-30mg of Mirtazapine before bed daily for mood optimization and sleep enhancement
",recTadsFW3WL7n66A,,,Mirtazapine,30,15,15-30 mg,1,<>,Before bed,MED,recBxCQOAdMmOV1Hi,mg
recdaRyiQpmXmIWWO,150,21,Opioid Antagonist,2025-09-27T16:11:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:47:44.000Z,Neuroinflammation and longevity (low-dose),"Take 1.5-4.5mg of Low-Dose Naltrexone before bed daily for neuroinflammation reduction and immune modulation
",recqYFg7fFphfiRZt,,,Naltrexone,4.5,1.5,1.5-4.5 mg,1,<>,Before bed,MED,recBxCQOAdMmOV1Hi,mg
recdMfsoWpQqE05ZT,150,21,mTOR Inhibitor,2025-09-27T16:11:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:49:13.000Z,Longevity and cellular optimization,"Take 2-8mg of Rapamycin in the morning weekly for longevity pathway activation, autophagy enhancement, and cellular optimization
",recuX7UaUL73BvmJr,,,Rapamycin,8,2,2-8 mg,7,<>,Morning,MED,recBxCQOAdMmOV1Hi,mg
rec5IFVsUufTtY6ih,150,21,Alpha-Glucosidase Inhibitor,2025-09-27T16:11:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:49:17.000Z,Metabolic optimization and longevity,"Take 50-200mg of Acarbose with meals daily for glucose optimization, longevity benefits, and metabolic health
",recK0weT9KzwCxdUw,,,Acarbose,200,50,50-200 mg,1,<>,With meals,MED,recBxCQOAdMmOV1Hi,mg
